Country,Currency Name,Currency Code,ISO Code,Population 2018,Population 2019,Population 2020,Population 2021,Population 2022,Population 2023,Population 2024,Population 2025,GDP 2018,GDP 2019,GDP 2020,GDP 2021,GDP 2022,GDP 2023,GDP 2024,GDP 2025,GDP Growth 2018,GDP Growth 2019,GDP Growth 2020,GDP Growth 2021,GDP Growth 2022,GDP Growth 2023,GDP Growth 2024,GDP Growth 2025,GDP Per Capita 2018,GDP Per Capita 2019,GDP Per Capita 2020,GDP Per Capita 2021,GDP Per Capita 2022,GDP Per Capita 2023,GDP Per Capita 2024,GDP Per Capita 2025,Unemployment 2018,Unemployment 2019,Unemployment 2020,Unemployment 2021,Unemployment 2022,Unemployment 2023,Unemployment 2024,Unemployment 2025,Population Growth Rate 2018,Population Growth Rate 2019,Population Growth Rate 2020,Population Growth Rate 2021,Population Growth Rate 2022,Population Growth Rate 2023,Population Growth Rate 2024,Population Growth Rate 2025,Defense Expenditure (% of GDP) 2018,Defense Expenditure (% of GDP) 2019,Defense Expenditure (% of GDP) 2020,Defense Expenditure (% of GDP) 2021,Defense Expenditure (% of GDP) 2022,Defense Expenditure (% of GDP) 2023,Defense Expenditure (% of GDP) 2024,Defense Expenditure (% of GDP) 2025,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fertility Rate,Median Age,Urban Pop %,World Share,Age Structure (0-14),Age Structure (15-64),Age Structure (65+),GDP (PPP),GDP (Official Exchange Rate),Inflation Rate,GDP Composition - Agriculture,GDP Composition - Industry,GDP Composition - Services,Life Expectancy (both),Life Expectancy (female),Life Expectancy (male),Religion 1,Religion 2,Religion 3,Religion 4,Religion 5,Religion 1 Percentage,Religion 2 Percentage,Religion 3 Percentage,Religion 4 Percentage,Religion 5 Percentage
Faroe Islands,Danish krone,kr,DKK,50998,51795,52571,53315,53952,54482,,,3188600927.46688,3266432734.22819,3271813311.5831,3664686796.62669,3566698397.6602,3907323961.33964,,,2.76370952267429,4.53851028676189,-1.63732118017028,5.50438017256558,3.55602380418398,2.4890581166362,,,62524.0387361638,63064.6343127366,62236.0866558197,68736.505610554,66108.733645837,71717.7042204698,,,,,,,,,,,1.61300196085293,1.55072032409694,1.487101739641,1.40530805636675,1.18770449092473,0.977560950757493,,,,,,,,,,,,,,,,,,,,20.0,61.5,18.5,3.834,3.907,,18.2,19.7,52.0,,,,Other/None,,,,,87.0,,,,
"Micronesia, Federated States of",N/A,N/A,N/A,109909,110282,110916,111624,112114,112630,,,392000000,394000000,372000000,390000000,430000000,460000000,,,0,4.08163265306123,-1.9607843137255,2.8,-0.778210116731515,0.784313725490193,,,3566.58690371125,3572.65918282222,3353.8894298388,3493.87228552999,3835.38184348074,4084.16940424398,,,,,,,,,,,0.390173246703998,0.338797095962346,0.573243642479669,0.636292251926478,0.438013018270765,0.459189928699194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Central African CFA franc,F.CFA,XAF,2212318,2267706,2322539,2376722,2430747,2484789,,,16867326401.9626,16874405465.391,15342236163.9864,19444935097.2395,20440655695.1804,19388402541.6698,,,0.83791658082157,3.92080879452831,-1.8377610635094,1.46795731508091,3.03761449502689,2.44588083119469,,,7624.2775233771,7441.1786472281,6605.80346077565,8181.40914134656,8409.2074145028,7802.83659565049,,,20.439,20.358,21.27,21.218,20.399,20.278,,,2.53688289832205,2.47279132038176,2.38922359813697,2.30612435799096,2.24763901253797,2.19891289669511,,,1.55363446931116,1.58653769296167,1.72005326971719,1.54092336488807,1.31756018896149,1.15321981179163,,,2.18,54163.0,10.0,257670.0,1105.0,3.6,22.0,84.0,0.03,34.6,61.1,4.3,46.472,19.388,3.63,6.5,53.5,38.2,68.51,71.24,66.06,Catholic,,,,,46.4,,,,
United Kingdom,Sterling,£,GBP,66460344,66836327,67081234,67026292,67791000,68350000,,,2871340347581.79,2851407164907.81,2696778386607.65,3143323050707.26,3114042471144.39,3380854520809.54,,,1.40519026609273,1.62447515947532,-10.2969188737567,8.5759509048565,4.83908514714403,0.339966158003463,,,43203.8141057739,42662.5353740311,40201.6812422928,46896.8662432834,45935.9276473925,49463.8554617343,,,4.12,3.613,4.472,4.826,3.73,3.984,,,0.605929132212552,0.564131113399897,0.365758263815142,-0.0819372405302065,1.13444824466953,0.821212039762055,,,1.94455569473457,1.98525373099586,2.16221591341109,2.07322203588405,2.07392558799882,2.26487905161201,,,0.66,455230.0,286.0,241930.0,417114.0,1.6,40.0,84.0,0.85,16.7,63.9,19.3,3.728,3.381,6.79,0.6,17.5,72.5,81.45,83.33,79.54,Catholic,,,,,59.5,,,,
Georgia,Georgian lari,₾,GEL,3726549,3720161,3722716,3708610,3712502,3715483,,,17902544880.6471,17638337116.9126,16010869215.68,18853115588.8106,24984568959.605,30777833585.4441,,,6.062036412677,5.38071926589951,-6.2904717853839,10.6442336580969,10.9585321385624,7.8322012152783,,,4804.0546040444,4741.2832715876,4300.85701291207,5083.60695484577,6729.84659930283,8283.66960242964,,,12.667,11.565,11.73,11.791,11.647,11.537,,,-0.0390365463489613,-0.171565740223868,0.0686562494680967,-0.379636607027231,0.104889950638883,0.0802640328443946,,,1.89711315739272,1.77655401596637,1.8054778310535,1.61153573028402,1.4657331013201,1.68114376621765,,,0.0,178.0,55.0,69490.0,1745.0,1.8,37.0,62.0,0.05,20.6,62.7,16.7,83.935,30.778,2.49,6.0,18.9,62.1,74.66,79.23,69.75,Catholic,,,,,83.4,,,,
Ghana,Ghanaian cedi,₵,GHS,30637585,31258945,31887809,32518665,33149152,33787914,,,67298914624.3723,68337969247.7067,70043099675.68,79524421861.2743,74263364041.8742,76370396722.154,,,6.20007768127284,6.5077747939152,0.513941670628171,5.07646643533542,3.81750462109567,2.94478583082221,,,2196.61290615342,2186.18924111824,2196.54789313621,2445.50081810782,2240.27945094566,2260.28741289427,,,3.253,3.16,3.313,3.384,3.084,3.063,,,2.07517136640112,2.00780519953703,1.99181985149439,1.95904584379494,1.92029034344132,1.90860289687983,,,0.32587623925291,0.343818178617089,0.350949233772808,0.382741906430833,0.337946355940024,0.389157461523268,,,1.89,639500.0,151.0,227540.0,-13114.0,3.3,21.0,58.0,0.42,37.4,58.2,4.4,229.639,76.37,38.11,21.1,29.5,42.5,65.7,68.16,63.31,Catholic,,,,,71.3,,,,
Gibraltar,Gibraltar pound,£,GIP,34854,35494,36173,36858,37609,38471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76273395885819,1.81957598739227,1.89493160765265,1.87597072209458,2.01706920456894,2.26613272520816,,,,,,,,,,,2.23,858.0,3933.0,10.0,598.0,1.9,39.0,90.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Guinea,Guinean franc,Fr,GNF,12704774,13034346,13371183,13710513,14055137,14405468,,,11857030366.7891,13442861496.4454,14088693742.9464,17069115737.8259,19910452541.9219,22199409741.2578,,,6.35849192736715,5.61691446889876,4.70459096113575,5.5823328114905,3.97240784200721,6.74493444630886,,,933.273615633705,1031.34146480732,1053.66097696415,1244.96550477914,1416.59612011764,1541.04050914957,,,4.787,5.018,6.018,5.827,5.267,5.244,,,2.54385572881799,2.56100451729991,2.55139953603925,2.50610419423246,2.48250409145397,2.46199049961035,,,1.77140056080645,1.48301139097039,1.47688705111674,1.53213218753336,2.16844701774448,2.12575054080202,,,2.42,349317.0,60.0,245720.0,-12024.0,4.1,18.0,40.0,0.18,40.9,55.1,4.0,56.892,22.199,7.8,29.1,26.3,36.9,60.9,62.09,59.66,Muslim,,,,,85.2,,,,
Gambia,N/A,N/A,N/A,2399632,2456844,2515733,2576010,2636470,2697845,,,1670671327.81651,1813609692.49994,1812170891.19069,2014158842.14596,2204734527.88096,2396111021.64149,,,7.23489033258579,6.22205315994859,0.591487287873974,5.25596878816744,5.49299823010114,4.79750895186164,,,696.219806960615,738.186751987483,720.335143352133,781.890925169531,836.244875868476,888.157407724123,,,4.127,4.538,5.892,6.269,6.076,6.479,,,2.42294300881827,2.35622071960344,2.3686612920428,2.36774778418782,2.31992109797091,2.30124049704572,,,0.715876283557486,0.769340979399031,0.809324910343592,0.76855558144666,0.693939998753325,0.584305835814994,,,2.3,62143.0,273.0,10120.0,-2989.0,3.9,18.0,60.0,0.03,,,,,,,,,,66.06,67.75,64.35,,,,,,,,,,
Guinea-Bissau,West African CFA franc,F.CFA,XOF,1922168,1967696,2013255,2058841,2105529,2153339,,,1554133593.91699,1588638853.59328,1646400349.84867,1853796455.89489,1796608530.82267,2048348108.35852,,,3.76145359637003,5.55045564999175,1.49527443726818,6.18267668294831,4.60583180729681,5.19926829741253,,,808.531613218504,807.359903965493,817.780335749159,900.407780831491,853.281304044102,951.242748289294,,,3.127,2.413,2.89,3.031,2.666,2.65,,,2.37405997248475,2.34095994762157,2.28895000835492,2.23903878745423,2.24235388639993,2.24529187264064,,,1.36473371190796,1.53211512931544,1.62537763900959,1.68743148649621,1.62190578388237,1.45545277154688,,,2.23,48013.0,78.0,28120.0,-1712.0,3.8,19.0,46.0,0.03,42.3,54.6,3.1,5.553,2.048,,30.7,18.8,46.1,64.25,66.55,61.82,Muslim,,,,,46.1,,,,
Equatorial Guinea,Central African CFA franc,F.CFA,XAF,1616422,1670177,1716468,1758786,1803545,1847549,,,13097012133.6159,11364133549.7478,9893816007.7398,12215878032.7166,13687643435.6249,12337550583.754,,,-6.23654406734575,-5.48182537893445,-4.79108083383294,0.860269956382069,3.22350831658598,-5.08930872071532,,,8102.47084834031,6804.14923073888,5764.05502912947,6945.63069794539,7589.29964909381,6677.793435386,,,7.967,8.064,8.781,8.976,8.455,8.367,,,3.39945242088076,3.271454421427,2.73390823188935,2.43551071649529,2.5130374213272,2.41057232825781,,,1.14208303034219,1.30805287179895,1.64082995887433,1.34533764165546,1.3031878031878,1.59021698232115,,,2.43,44967.0,67.0,28050.0,3891.0,4.1,21.0,63.0,0.02,35.6,59.4,5.0,28.985,12.338,,3.1,46.5,50.4,63.91,65.89,62.22,Catholic,,,,,88.0,,,,
Greece,Euro,€,EUR,10732882,10721582,10698599,10569207,10436882,10405588,,,213298873494.394,207305649887.019,191362985554.861,218303801895.326,218880566444.349,243498333237.802,,,2.06467253338354,2.27718063644569,-9.19623147082588,8.65449785311438,5.74364918958959,2.3321238825698,,,19873.4015238771,19335.3602002969,17886.733165236,20654.7001960815,20971.8349258283,23400.7278817691,,,19.179,17.045,15.899,14.656,12.426,11.066,,,-0.202880238259165,-0.105339392724138,-0.214592106571664,-1.21680248998544,-1.25988945727074,-0.300290930163656,,,2.71645307270589,2.62245307490582,3.069343544579,3.8668791000781,4.02423972931974,3.23440755796675,,,-1.9,-195091.0,78.0,128900.0,-122772.0,1.3,46.0,88.0,0.12,13.8,62.6,23.6,384.023,243.498,3.46,3.3,15.3,68.6,82.03,84.46,79.5,Muslim,,,,,90.0,,,,
Grenada,Eastern Caribbean dollar,EC$,XCD,115691,115981,116341,116688,116913,117081,,,1166514814.81481,1213485185.18519,1043411111.11111,1122800000,1224577777.77778,1316733333.33333,,,4.36144039364797,0.676511738873756,-13.7566222572107,4.68747816934534,7.32074061551874,3.56612861773655,,,10083.021279225,10462.7929159533,8968.55890108484,9622.24050459345,10474.2652893842,11246.3451228921,,,,,,,,,,,0.218925449466702,0.250354079448358,0.309914935427349,0.297817230024271,0.192636221230939,0.143593450145476,,,,,,,,,,,0.11,126.0,345.0,340.0,-192.0,1.5,34.0,35.0,0.0,21.9,65.3,12.8,1.984,1.317,2.7,3.3,15.0,64.5,75.37,78.5,72.52,Catholic,,,,,49.2,,,,
Greenland,Danish krone,kr,DKK,56023,56225,56367,56653,56661,56865,,,3055782146.15957,2997309971.87623,3082884653.2456,3235809504.29871,,,,,0.62306542854094,2.83217756798683,0.187608793759281,1.29021048770599,,,,,54545.135857765,53309.2035905065,54693.0766804265,57116.295770722,,,,,,,,,,,,,-0.265609140509557,0.359917714454119,0.252238303411568,0.506106194434674,0.0141200557976914,0.359389425458904,,,,,,,,,,,-0.15,-82.0,0.0,410450.0,-284.0,1.9,35.0,90.0,0.0,20.4,67.1,12.5,,3.236,,17.5,16.1,62.7,,,,,,,,,,,,,
Guatemala,Guatemalan quetzal,Q,GTQ,16845685,17103803,17357325,17598650,17847877,18124838,,,73328365862.4329,77172317258.6478,77719464220.73,86478835636.3813,95630524813.106,104450210572.012,,,3.40687339997949,4.0178979343828,-1.78555194467604,8.03326771516488,4.20015588892568,3.52679214166824,,,4352.94651790253,4511.99755157656,4477.61761796418,4913.94712869347,5358.08963795,5762.82174615918,,,2.283,2.193,2.955,2.174,3.051,2.344,,,1.66602273310221,1.52062955252943,1.47137710546514,1.3807587059317,1.40623710213146,1.53986971917384,,,0.372491637911365,0.430070763358893,0.441017589859342,0.392566987976173,0.464713795654133,0.411176407815766,,,1.55,281521.0,172.0,107160.0,-7725.0,2.3,23.0,56.0,0.23,31.5,63.2,5.4,224.556,104.45,6.21,9.8,22.3,61.3,72.75,75.04,70.44,Catholic,,,,,45.7,,,,
Guam,N/A,N/A,N/A,162679,161808,162158,163730,165180,166506,,,6051000000,6355000000,5916000000,6234000000,6910000000,,,,-0.828231904933389,2.52360203340596,-10.5188595714539,2.0581832574708,5.09986426216793,,,,37195.9503070464,39274.9431424899,36482.9363953675,38074.8793745801,41833.1517132825,,,,5.449,5.401,6.248,5.991,5.454,5.363,,,-0.49728924043186,-0.536848682318792,0.216072141009173,0.964756108149453,0.881705873116992,0.799555642468131,,,,,,,,,,,0.76,1271.0,311.0,540.0,-504.0,2.7,31.0,99.0,0.0,,,,,,,,,,77.42,81.59,73.66,,,,,,,,,,
Guyana,Guyanese dollar,$,GYD,791556,807665,807481,815482,821637,826353,,,4787636997.85343,5173760191.84652,5471256594.72422,8041363893.04556,14718387016.7866,17159509565.4676,,,4.44091288475967,5.35284003535665,43.479651716849,20.0600280629427,63.3345871591983,33.8026170921817,,,6048.38697180418,6405.82443444562,6775.70939096303,9860.87233445443,17913.4910146288,20765.3503593109,,,13.627,13.172,15.334,14.557,12.013,12.025,,,2.95873919098606,2.0146740033225,-0.0227843180487706,0.985982406099209,0.751934221097092,0.57233513230005,,,1.29081562879598,1.29961278504611,1.40257741131547,0.954930861063661,0.601394233025198,0.586516734323403,,,0.57,4734.0,4.0,196850.0,-5407.0,2.4,26.0,27.0,0.01,23.5,68.4,8.1,40.752,17.16,2.82,10.0,67.8,19.3,70.32,74.09,66.62,Catholic,,,,,34.8,,,,
Hong Kong,Hong Kong dollar,$,HKD,7452600,7507900,7481000,7413100,7346100,7536100,,,361731070995.726,363074545072.389,344943149590.058,368954169748.818,358681066274.469,380812234827.832,,,2.84692770115917,-1.67239123872136,-6.54476757335387,6.45440824066419,-3.68357113148396,3.27652625631858,,,48537.5668888343,48359.0011950597,46109.2299946609,49770.5642374739,48826.0527728276,50531.7385421945,,,2.805,2.917,5.808,5.174,4.318,2.949,,,0.800230596967774,0.739283471323064,-0.358932661902885,-0.91177674914823,-0.907914524343304,2.55352466697343,,,,,,,,,,,-0.37,-27825.0,7062.0,1050.0,-19272.0,0.7,47.0,,0.09,13.2,64.8,21.9,485.834,380.812,2.1,0.0,6.3,91.5,85.63,88.26,82.97,Catholic,,,,,27.9,,,,
Honduras,Honduran lempira,L,HNL,9765210,9943633,10119640,10289877,10463872,10644851,,,24067750760.499,24882225741.8119,23352232483.755,28144331506.6149,31426041806.7985,34400509852.0436,,,3.84499476966735,2.55963434592314,-8.96508223267296,12.5652843771279,4.14356194013767,3.58260362632656,,,2464.64241531918,2502.32744328073,2307.61494319511,2735.14751503977,3003.28996826399,3231.65724461936,,,5.648,5.698,10.982,8.506,8.774,6.07,,,1.82994643094924,1.81063773761993,1.75456432541029,1.66825063176954,1.67679658023776,1.71477388415816,,,1.48969667029328,1.56512001524757,1.43753064533091,1.48011455066458,1.45210958652938,1.56610457514466,,,1.7,180852.0,97.0,111890.0,-4821.0,2.5,24.0,58.0,0.13,28.7,65.7,5.6,68.854,34.401,6.66,12.0,26.0,57.4,73.04,75.67,70.49,Catholic,,,,,55.0,,,,
Croatia,Euro,€,EUR,3988775,3949390,3914206,3878981,3855641,3859686,,,61668130122.5878,61467582193.6824,57963370885.0798,69006802298.6956,71198635101.9514,84393795502.4421,,,2.90468149344008,3.10043911443758,-8.31164257884687,12.6317003277712,7.28793643206565,3.30254488086325,,,15460.4183295843,15563.8167397199,14808.4620188819,17789.9304736722,18466.0955472648,21865.4562838641,,,8.432,6.617,7.507,7.608,6.96,6.086,,,-1.31087324504252,-0.992302961069294,-0.894863743984583,-0.904000889163613,-0.603521952188318,0.104856226330186,,,1.54696751458149,1.60350358639622,1.70256133740463,1.96944408251846,1.79282877045626,1.77989219884811,,,-0.53,-20698.0,69.0,55960.0,-5186.0,1.5,45.0,61.0,0.05,13.8,63.1,23.1,158.698,84.394,7.94,3.4,21.0,59.1,78.75,81.82,75.6,Catholic,,,,,79.0,,,,
Haiti,Haitian gourde,G,HTG,10962362,11105163,11243848,11374586,11503606,11637398,,,16403864617.8458,15016090929.5125,14508222518.3018,20877414952.6375,20253551920.5516,19850829757.5418,,,1.66781095484656,-1.72309699839232,-3.30550546965893,-1.79823988931486,-1.68198396897978,-1.86388420254838,,,1496.38048970156,1352.17204191532,1290.32538667383,1835.44394078496,1760.62635668777,1705.77905452248,,,13.878,14.057,15.546,15.28,14.635,14.556,,,1.32790959369268,1.29423660619831,1.24109993204209,1.15604339382525,1.12789828650149,1.15633263604117,,,0.0611986488105247,0.0859315095445588,0.103094179098955,0.153942307239608,0.0687408576027912,0.0540928489525686,,,1.16,135159.0,427.0,27560.0,-31747.0,2.6,24.0,61.0,0.14,30.5,65.3,4.2,34.406,19.851,36.81,18.2,31.0,47.8,65.12,68.49,61.9,Catholic,,,,,55.0,,,,
Hungary,Hungarian forint,Ft,HUF,9775564,9771141,9750149,9709891,9644377,9592186,,,160565642983.587,164020460331.659,157288955508.176,182109999477.691,177006128624.627,212388906458.724,,,5.36234836176223,4.86422573511891,-4.48704604765308,7.06122060972912,4.58340767295068,-0.907685956140242,,,16425.2050299693,16786.2136399075,16131.9540355923,18755.1023464312,18353.298364905,22141.8669799276,,,3.708,3.419,4.25,4.045,3.609,4.107,,,-0.126786951652838,-0.0452557101106228,-0.215067837129585,-0.413751024472153,-0.677000548147119,-0.542624252156938,,,1.00606844814921,1.33524248667313,1.76006936522039,1.32374131113092,1.83565722625996,2.12784318809435,,,-0.11,-10328.0,107.0,90530.0,16223.0,1.5,44.0,72.0,0.12,14.6,63.9,21.5,388.906,212.389,17.12,4.7,24.3,57.6,77.18,80.33,73.89,Catholic,,,,,30.1,,,,
Indonesia,Indonesian rupiah,Rp,IDR,269951846,272489381,274814866,276758053,278830529,281190067,,,1042271532953.49,1119099871385.79,1059054842711.55,1186509691070.97,1319076267291.51,1371171152331.16,,,5.17429153955024,5.01928768046282,-2.06551182934165,3.70288562827751,5.30741934775764,5.04810577067288,,,3860.95353077708,4106.94856173421,3853.70288778903,4287.17313989405,4730.74548910499,4876.31432703188,,,4.387,3.59,4.255,3.827,3.462,3.308,,,0.969743409524713,0.935604959235128,0.849801187379341,0.704601321926319,0.746050469653246,0.842666137328498,,,0.718928190476345,0.728563743551525,0.886277728854897,0.741528496236734,0.767998661414972,0.677541069885981,,,0.82,2297864.0,156.0,1811570.0,-38469.0,2.1,30.0,59.0,3.47,23.8,68.3,8.0,3.906,1.371,3.67,12.5,40.2,42.9,71.29,73.43,69.16,Catholic,,,,,87.4,,,,
Isle of Man,Manx pound,£,(none),83805,83957,84064,84106,84132,84165,,,7491649455.92717,7314967866.28289,6684225641.02564,7931193222.06405,,,,,2.21339675044368,0.254878786117672,-8.8368174000649,3.83783666558899,,,,,89393.8244248812,87127.5517977404,79513.5330346598,94299.969348965,,,,,,,,,,,,,0.234150178061123,0.181209143421298,0.12736504896945,0.0499494569462143,0.0309085940239317,0.0392163858214135,,,,,,,,,,,-0.01,-5.0,148.0,570.0,177.0,1.5,46.0,56.0,0.0,16.0,61.9,22.1,,7.931,,0.3,9.4,91.8,,,,Jewish,,,,,54.7,,,,
India,Indian rupee,₹,INR,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596,,,2702929641648.74,2835606256558.19,2674851578587.27,3167270623260.47,3353470496886.33,3567551674623.01,,,6.45385134497769,3.87143694070356,-5.77772470686801,9.68959249192875,6.9870393257555,8.1529363109041,,,1966.25455171679,2041.42863698585,1907.04251637669,2239.61384367482,2352.61392452078,2480.79208721621,,,7.652,6.51,7.859,6.38,4.822,4.172,,,1.09729906702925,1.04001395098104,0.973438646910149,0.822648220128724,0.790200540609834,0.883289539766135,,,2.42428452604417,2.5459982314359,2.80719387386131,2.48038870521367,2.36392657703578,2.44305076476938,,,0.89,12866195.0,488.0,2973190.0,-630830.0,2.0,28.0,37.0,17.78,24.5,68.7,6.8,13.173,3.568,5.65,16.0,25.0,49.6,72.24,73.86,70.73,Muslim,,,,,79.8,,,,
Ireland,Euro,€,EUR,4867316,4934340,4985382,5033164,5165700,5307600,,,395461216460.418,407124824064.995,436555518400.451,531306516907.984,548570250341.987,551394889339.778,,,7.54434190760031,5.040550288018,7.15789883057209,16.2556132446002,8.61950355191492,-5.53000736095537,,,81248.3135388,82508.4659883582,87567.1148972037,105561.137468992,106194.755859223,103887.800388081,,,5.741,4.95,5.623,6.364,4.501,4.288,,,1.23887545258946,1.36762695363797,1.02911050277336,0.953878183519474,2.59918087753675,2.70991347020317,,,0.286463500322568,0.278905402054922,0.267555214275712,0.246964923185605,0.218652664665286,0.216857882649718,,,1.12,58387.0,76.0,68890.0,39059.0,1.6,39.0,62.0,0.06,18.6,65.5,15.8,609.962,551.395,6.3,0.9,33.2,60.9,82.58,84.61,80.58,Catholic,,,,,69.2,,,,
"Iran, Islamic Republic of",N/A,N/A,N/A,86117998,87051648,87723443,88455488,89524246,90608707,,,398880231367.268,333519146339.191,262186179355.944,383436202446.695,394362621793.035,404625655204.619,,,-1.83800757093036,-3.0705879849703,3.33028845926594,4.71977773157164,3.77663140152906,5.04489051061807,,,4631.78709016514,3831.27894763337,2988.78122414716,4334.79268631354,4405.09291519791,4465.63766994952,,,12.195,10.74,9.687,9.282,9.085,9.041,,,1.27524656861717,1.07831720901251,0.768757498195729,0.831029236943935,1.20100285857304,1.20408185634218,,,2.24343449628841,2.11068906242797,2.16792005411303,2.21628758873817,2.11155207370144,2.06140369835077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Iraqi dinar,ID,IQD,40265624,41192171,42116605,43071211,44070551,45074049,,,227367469034.031,233636097800.338,180898797516.874,209691945713.103,286640340965.517,250842782139.464,,,2.63385099105624,5.51379057540518,-12.0367930931001,1.5021807095434,7.63981140218355,-2.93555773971221,,,5646.68932074742,5671.8568632942,4295.18945121228,4868.49431080783,6504.12428393548,5565.12644647176,,,13.49,14.109,15.778,16.173,15.511,15.447,,,2.33235769663486,2.27501115691232,2.21938669515023,2.24127347113109,2.29369659225826,2.25148890849618,,,2.78810430800447,3.29459128827441,3.1323217364269,2.3091135750299,1.80571893401634,2.07316277530662,,,2.15,967966.0,106.0,434320.0,-17735.0,3.2,21.0,72.0,0.56,34.6,61.7,3.6,572.939,250.843,,2.8,55.6,42.3,72.42,74.18,70.5,Catholic,,,,,98.0,,,,
Iceland,Icelandic króna,kr,ISK,352721,360563,366463,372520,382003,393349,,,26260850582.0687,24681343649.2952,21629953194.0659,25825287184.3818,28770206626.5564,31325116556.3807,,,4.88917299486545,1.86117794293874,-6.94045309489034,5.25420975317854,8.9925076126915,5.03717943960838,,,74452.1890731447,68452.23622306,59023.5663465778,69325.9078287926,75314.085560994,79636.9548578508,,,2.704,3.507,5.478,6.029,3.789,3.518,,,2.67814276922904,2.19893225826166,1.6230862512591,1.6393166402584,2.51377343254216,2.92687965279829,,,,,,,,,,,1.51,5838.0,4.0,100250.0,3543.0,1.5,36.0,84.0,0.0,19.8,63.2,17.1,26.455,31.325,8.74,3.8,21.1,64.6,83.01,84.47,81.63,Catholic,,,,,58.6,,,,
Israel,Israeli new shekel,₪,ILS,8882800,9054000,9215100,9371400,9557500,9756600,,,375149611117.199,399651065197.871,411728563086.632,489708278893.053,525000415276.678,513611100815.691,,,4.07447600571263,3.78514145224655,-1.46460564253812,9.34390774596847,6.47037150232485,2.42300691049012,,,42233.2610344935,44140.8289372511,44679.7715799755,52255.6159050999,54930.7261602593,52642.4267486308,,,3.917,3.731,4.169,4.812,3.695,3.596,,,1.92662286520241,1.90898263957994,1.76367939210866,1.68190551747412,1.96636884788361,2.06177924891639,,,5.30452582541345,5.0884742677873,5.29504518980891,4.96402843133313,4.45573996865188,5.31741153367738,,,1.41,130707.0,434.0,21640.0,10612.0,2.8,29.0,91.0,0.12,27.5,60.3,12.3,472.533,513.611,4.23,1.2,18.9,70.8,82.73,84.71,80.67,Jewish,,,,,73.5,,,,
Italy,Euro,€,EUR,60421760,59729081,59438851,59133173,59013667,58993475,,,2099435266458.67,2019606796583.53,1907481094079.23,2179207773596.09,2102995942720.44,2300941152991.81,,,0.826646697363699,0.429162534371912,-8.86822121046387,8.9310620660078,4.66176265113695,0.69763299419678,,,34746.3441392416,33812.788724868,32091.4866621366,36852.5425414951,35635.7442204098,39003.3160954123,,,10.61,9.951,9.164,9.497,8.069,7.627,,,-0.190063640113791,-1.15302842389952,-0.487095091717782,-0.515599998844444,-0.20230086688254,-0.0342216578672275,,,1.35929093471843,1.31150962472626,1.73898398051865,1.6812622421282,1.69455752183519,1.60578289334057,,,-0.26,-156586.0,202.0,294140.0,95246.0,1.2,48.0,72.0,0.73,11.9,64.5,23.6,3.145,2.301,5.62,1.9,22.9,65.0,83.87,85.87,81.75,Catholic,,,,,80.8,,,,
Jamaica,Jamaican dollar,$,JMD,2820097,2823271,2830739,2837682,2839144,2839786,,,15730792835.5811,15830766570.7266,13812421803.4084,14657586127.0331,17097760723.9201,19423355409.2316,,,1.88992368121086,0.892291653822227,-9.92032244889079,4.6014245042592,5.22151984737387,2.20006147154612,,,5578.10346083169,5607.24300668501,4879.44024631319,5165.33780988607,6022.15341099999,6839.72503886968,,,5.47,4.987,6.501,5.188,4.083,4.4,,,0.153765355594745,0.112486030848061,0.264166647844328,0.244971341124232,0.0515076570013975,0.0226098931571573,,,1.33284679598136,1.68152578167608,1.70647069948671,1.46676867767402,1.2899994472516,1.22435313075752,,,-0.02,-611.0,262.0,10830.0,-10506.0,1.4,32.0,60.0,0.03,23.8,65.7,10.4,29.225,19.423,6.47,9.0,18.6,60.1,71.61,74.15,69.08,Catholic,,,,,64.8,,,,
Jordan,Jordanian dinar,JD,JOD,10462306,10671891,10865228,11066356,11256263,11439213,,,43370860704.2254,44503006338.0282,43700383098.5916,46296100140.8451,48764963380.2817,50967475352.1127,,,1.91907091341564,1.75124077866225,-1.10275188309046,3.65564191030398,2.64743616429071,2.67827153754409,,,4145.43989673265,4170.1144003465,4022.0401356135,4183.49998326866,4332.25159897931,4455.50540514568,,,18.257,16.801,19.213,19.837,18.2,17.969,,,2.20412998393259,1.98343822476301,1.79543228239066,1.83419162693059,1.70151702842564,1.61225050235636,,,4.56009087117148,4.56623750321627,4.7175756760932,4.82477376946416,4.89625877397111,4.90537849518021,,,0.99,113663.0,130.0,88780.0,-156369.0,2.6,25.0,84.0,0.14,30.9,64.9,4.2,107.101,50.967,2.08,4.8,24.8,60.7,77.98,80.34,75.89,Catholic,,,,,97.1,,,,
